6.72,5.59,4.37
9.37,7.91,6.43
11.59,9.93,8.21
13.72,11.70,9.90
15.51,13.46,11.50
17.39,15.05,12.91
19.11,16.67,14.46
20.86,18.16,15.88
22.38,19.71,17.30
23.95,21.13,18.65
8.22,6.53,5.08
10.98,8.98,7.13
13.47,11.09,9.12
15.67,12.94,10.78
17.66,14.69,12.45
19.55,16.35,13.91
21.33,18.14,15.55
23.19,19.58,17.10
24.91,21.23,18.58
26.38,22.62,19.91
9.77,7.49,5.73
12.59,10.00,7.92
15.28,12.25,9.91
17.67,14.11,11.66
19.51,15.96,13.49
21.47,17.66,14.97
23.36,19.41,16.56
25.26,20.94,18.03
26.96,22.69,19.51
28.62,24.04,20.96
11.94,8.77,6.58
14.92,11.30,8.95
17.60,13.40,10.91
19.82,15.74,12.99
21.75,17.21,14.60
23.80,19.25,16.29
26.16,21.03,17.81
27.71,22.71,19.37
29.67,24.43,20.74
31.38,25.73,22.34
