8.02,7.87,7.07,6.61,6.14,5.74,5.40,5.09,4.81
11.02,10.48,9.61,8.99,8.50,8.06,7.66,7.32,7.01
13.43,12.73,11.76,11.04,10.49,10.02,9.59,9.21,8.86
15.53,14.65,13.63,12.91,12.33,11.79,11.34,10.93,10.55
17.42,16.45,15.44,14.69,14.05,13.51,13.02,12.59,12.18
19.38,18.15,17.17,16.39,15.74,15.18,14.63,14.18,13.74
21.23,19.93,18.75,17.98,17.28,16.69,16.16,15.69,15.24
22.92,21.56,20.43,19.58,18.84,18.21,17.69,17.19,16.70
24.75,23.15,21.98,21.12,20.37,19.72,19.13,18.58,18.09
26.13,24.70,23.48,22.57,21.83,21.16,20.57,20.03,19.55
9.63,8.78,7.85,7.21,6.69,6.23,5.86,5.51,5.20
12.89,11.60,10.46,9.71,9.12,8.65,8.19,7.79,7.46
15.37,13.84,12.64,11.83,11.15,10.61,10.14,9.71,9.32
17.60,15.84,14.63,13.71,12.99,12.42,11.91,11.49,11.04
19.50,17.60,16.40,15.52,14.79,14.19,13.63,13.16,12.70
21.59,19.61,18.23,17.27,16.50,15.86,15.29,14.77,14.30
23.50,21.30,19.83,18.91,18.10,17.43,16.83,16.28,15.79
25.22,23.03,21.48,20.46,19.66,18.97,18.37,17.80,17.30
27.08,24.55,23.16,22.08,21.22,20.49,19.90,19.29,18.79
28.49,26.17,24.59,23.59,22.71,21.93,21.34,20.74,20.17
11.17,9.81,8.52,7.79,7.22,6.70,6.27,5.92,5.56
14.53,12.64,11.20,10.29,9.69,9.10,8.64,8.18,7.80
17.17,14.91,13.44,12.49,11.75,11.13,10.62,10.14,9.72
19.35,16.85,15.44,14.43,13.64,13.01,12.46,11.94,11.49
21.47,18.75,17.26,16.13,15.40,14.75,14.19,13.66,13.17
23.73,20.80,19.15,18.07,17.21,16.49,15.84,15.29,14.78
25.23,22.54,20.85,19.68,18.79,18.03,17.38,16.79,16.31
27.21,24.20,22.41,21.29,20.39,19.63,18.98,18.34,17.78
29.13,25.92,24.14,22.97,21.98,21.28,20.59,19.98,19.39
30.67,27.52,25.69,24.47,23.45,22.71,21.95,21.34,20.79
13.58,10.95,9.37,8.50,7.85,7.21,6.75,6.33,5.98
16.64,13.78,12.06,11.00,10.28,9.65,9.11,8.66,8.22
19.25,16.27,14.48,13.40,12.56,11.80,11.22,10.67,10.19
21.20,18.21,16.43,15.21,14.45,13.70,13.04,12.48,12.02
23.99,20.18,18.19,17.09,16.14,15.34,14.81,14.26,13.72
25.95,22.18,20.29,18.93,17.97,17.20,16.54,15.94,15.35
28.01,24.07,21.89,20.68,19.68,18.81,18.10,17.49,16.96
29.60,25.66,23.44,22.22,21.22,20.40,19.66,19.03,18.46
31.66,27.42,25.13,24.01,23.06,22.18,21.35,20.63,19.94
33.62,29.14,26.90,25.58,24.44,23.49,22.75,22.09,21.47
