7.42,6.93,6.09,5.44,4.85,4.32,3.83,3.22
10.37,9.43,8.48,7.68,7.02,6.37,5.77,4.98
12.77,11.61,10.53,9.69,8.94,8.21,7.49,6.57
14.81,13.56,12.36,11.43,10.61,9.86,9.04,8.01
16.65,15.32,14.06,13.10,12.20,11.40,10.54,9.40
18.65,17.01,15.75,14.70,13.78,12.92,11.98,10.80
20.34,18.71,17.26,16.19,15.26,14.35,13.40,12.13
22.01,20.32,18.90,17.75,16.79,15.82,14.80,13.45
23.79,21.88,20.43,19.28,18.22,17.24,16.19,14.77
25.29,23.33,21.89,20.71,19.63,18.59,17.50,16.00
9.10,7.92,6.84,6.03,5.37,4.80,4.23,3.58
12.25,10.58,9.29,8.37,7.62,6.90,6.21,5.41
14.60,12.82,11.46,10.41,9.59,8.80,8.01,7.03
16.76,14.72,13.30,12.25,11.29,10.42,9.58,8.46
18.68,16.50,15.07,13.93,13.00,12.10,11.16,9.96
20.76,18.32,16.81,15.67,14.65,13.68,12.63,11.34
22.62,20.04,18.45,17.19,16.14,15.11,14.09,12.71
24.34,21.69,20.01,18.74,17.66,16.65,15.54,14.07
26.20,23.36,21.63,20.32,19.19,18.09,16.89,15.40
27.64,24.87,23.11,21.79,20.58,19.47,18.29,16.70
10.56,8.90,7.55,6.64,5.88,5.22,4.61,3.90
13.86,11.63,10.14,9.05,8.17,7.40,6.63,5.73
16.55,13.90,12.35,11.12,10.19,9.28,8.43,7.40
18.62,15.88,14.22,12.96,11.94,11.05,10.06,8.93
20.59,17.71,16.02,14.68,13.67,12.71,11.68,10.42
23.05,19.69,17.82,16.47,15.31,14.24,13.20,11.89
24.65,21.34,19.41,18.13,16.90,15.84,14.67,13.25
26.50,22.98,20.95,19.69,18.52,17.35,16.15,14.67
28.25,24.73,22.68,21.29,20.01,18.76,17.56,16.00
29.80,26.37,24.27,22.71,21.42,20.21,18.94,17.33
13.00,10.14,8.42,7.31,6.48,5.74,5.05,4.28
16.19,12.90,11.12,9.87,8.84,8.01,7.18,6.18
18.72,15.38,13.38,11.97,10.93,9.94,8.99,7.85
20.75,17.24,15.30,13.93,12.78,11.67,10.64,9.47
23.12,18.93,16.91,15.61,14.42,13.31,12.30,11.00
25.50,21.15,19.04,17.48,16.19,15.11,13.88,12.55
27.19,22.97,20.68,19.14,17.81,16.59,15.43,13.92
29.01,24.51,22.40,20.68,19.41,18.08,16.83,15.30
30.81,26.30,23.95,22.33,20.88,19.56,18.35,16.79
32.80,28.24,25.63,23.83,22.32,21.04,19.73,18.10
